segid,segstart,segend,verbatim,intended
24fa_000,15.93,19.83,um i mean it's definitely affected my entire life,i mean it's definitely affected my entire life
24fa_001,20.25,26.15,up until last year i was a co co covert stutterer,up until last year i was a covert stutterer
24fa_002,26.63,31.77,so i i would never introduce m m myself to people,so i would never introduce myself to people
24fa_003,31.78,33.52,i wouldn't participate in class,i wouldn't participate in class
24fa_004,34.17,38.92,um whenever a teacher asked me a question i would just say i don't know,whenever a teacher asked me a question i would just say i don't know
24fa_005,38.93,45.0,'cause that was e easier than asking or easier than answering the the question,'cause that was easier or easier than answering the question
24fa_006,45.04,52.05,and i did not want my co not coworkers but um classmates to hear m my stutter,and i did not want my not coworkers but classmates to hear my stutter
24fa_007,53.15,60.01,um and then i went to i got different therapy,and then i got different therapy
24fa_008,60.2,61.2,last year,last year
24fa_009,61.22,61.92,and i'm still in it,and i'm still in it
24fa_010,61.92,69.67,where it's like focused on um desensitization and trying to get past that like fear and shame of stuttering,where it's like focused on desensitization and trying to get past that like fear and shame of stuttering
24fa_011,70.24,79.32,so i'm working on that and now i'm getting a little better at introducing m myself and le letting my my stutter show,so i'm working on that and now i'm getting a little better at introducing myself and letting my stutter show
24fa_012,79.33,82.39,but i'm still like at work very quiet,but i'm still like at work very quiet
24fa_013,82.42,85.08,i start grad school in a couple months,i start grad school in a couple months
24fa_014,85.43,89.7,it it'll be interesting to see if i participate more,it'll be interesting to see if i participate more
24fa_015,89.7,93.67,or if i like fall back into my co co covert ways,or if i like fall back into my covert ways
24fa_016,100.68,103.87,um honestly i don't know,honestly i don't know
24fa_017,103.89,107.38,i'm assuming it's something ge ge genetic,i'm assuming it's something genetic
24fa_018,107.54,111.16,i don't remember the um when i first started stuttering,i don't remember when i first started stuttering
24fa_019,111.68,116.5,i just re remember having issues with it in middle school,i just remember having issues with it in middle school
24fa_020,117.44,123.61,so i don't know if i started stuttering earlier than that but probably something genetic,so i don't know if i started stuttering earlier than that but probably something genetic
24fa_021,132.85,135.14,can i say like where i got therapy,can i say like where i got therapy
24fa_022,135.78,136.09,okay,okay
24fa_023,136.49,140.28,so all throughout school um,so all throughout school
24fa_024,140.29,142.16,e elementary school,elementary school
24fa_025,142.21,143.1,middle school,middle school
24fa_026,143.14,143.47,well,well
24fa_027,143.58,146.26,assuming i started stuttering in e elementary school,assuming i started stuttering in elementary school
24fa_028,146.26,150.89,but all throughout like my school days i went to speech therapy um and school,but all throughout like my school days i went to speech therapy and school
24fa_029,150.97,158.24,and i was working wo wo working on fluency shaping te t t techniques,and i was working on fluency shaping techniques
24fa_030,158.8,161.29,which were very helpful like in the session,which were very helpful like in the session
24fa_031,161.29,164.1,where it was one uh on one,where it was one on one
24fa_032,164.14,165.73,um in a quiet room,in a quiet room
24fa_033,166.25,167.34,no distractions,no distractions
24fa_034,167.41,169.5,but it didn't really help me in like the real world,but it didn't really help me in like the real world
24fa_035,169.5,171.54,where i was with like a group of friends,where i was with like a group of friends
24fa_036,171.54,173.29,or at work,or at work
24fa_037,173.29,177.16,you know it's not like a controlled environment,you know it's not like a controlled environment
24fa_038,177.17,180.25,so i became more co covert,so i became more covert
24fa_039,180.26,184.23,and didn't really use those um te techniques,and didn't really use those techniques
24fa_040,184.56,187.83,unless i was like doing a pre presentation,unless i was like doing a presentation
24fa_041,188.32,190.91,where again it it was just me talking,where again it was just me talking
24fa_042,191.78,195.82,um and then i went to the uh a american institute for stuttering,and then i went to the american institute for stuttering
24fa_043,196.33,201.14,and i was working on desensitization and le letting my stutter show,and i was working on desensitization and letting my stutter show
24fa_044,201.16,203.44,so that's been the most he helpful,so that's been the most helpful
24fa_045,203.46,208.56,it's helped me feel like more a authentic i guess,it's helped me feel like more authentic i guess
24fa_046,218.62,224.95,successful communication to me means just saying whatever i wanna say,successful communication to me means just saying whatever i wanna say
